[('121.237.149.134', '3000', '江苏南京', 'HTTPS')]
[('121.237.148.244', '3000', '江苏南京', 'HTTPS')]
[('222.95.144.144', '3000', '江苏南京', 'HTTPS')]
[('222.95.144.81', '3000', '江苏南京', 'HTTPS')]
[('117.88.176.216', '3000', '江苏南京', 'HTTP')]
[('222.95.241.140', '3000', '江苏南京', 'HTTPS')]
[('60.190.250.120', '8080', '浙江杭州', 'HTTPS')]
[('222.95.144.196', '3000', '江苏南京', 'HTTPS')]
[('117.88.5.142', '3000', '江苏南京', 'HTTP')]
[('222.95.144.35', '3000', '江苏南京', 'HTTP')]
[('121.237.149.45', '3000', '江苏南京', 'HTTP')]
[('117.88.4.190', '3000', '江苏南京', 'HTTP')]
[('117.88.177.175', '3000', '江苏南京', 'HTTP')]
[('117.88.176.59', '3000', '江苏南京', 'HTTP')]
[('218.21.230.156', '808', '内蒙古通辽', 'HTTPS')]
[('222.85.28.130', '40505', '河南许昌市禹州', 'HTTP')]
[('222.95.144.216', '3000', '江苏南京', 'HTTP')]
[('121.237.148.113', '3000', '江苏南京', 'HTTP')]
[('121.237.149.249', '3000', '江苏南京', 'HTTPS')]
[('222.95.144.147', '3000', '江苏南京', 'HTTP')]
     [('42.228.3.158', '8080', '河南郑州', 'HTTPS')]
[('218.249.45.162', '35586', '北京', 'HTTPS')]
[('171.221.79.42', '8118', '四川', 'HTTPS')]
[('115.238.59.86', '53400', '浙江杭州', 'HTTPS')]
[('115.53.202.236', '8118', '河南洛阳', 'HTTPS')]
[('60.191.11.229', '3128', '浙江杭州', 'HTTPS')]
[('60.5.254.169', '8081', '河北邯郸', 'HTTPS')]
[('115.231.5.230', '44524', '浙江杭州', 'HTTPS')]
[('61.164.39.66', '53281', '浙江杭州', 'HTTPS')]
[('115.213.179.242', '50218', '浙江丽水', 'HTTPS')]
[('218.76.253.201', '61408', '湖南永州', 'HTTPS')]
[('123.57.152.8', '12345', '天津', 'HTTPS')]
[('124.93.201.59', '59618', '辽宁大连', 'HTTPS')]
